Year,Judgment Number,Court,Case Name,Case Number 1,Case Number 2,Case Number 3,Judgment Date,MNC,Judge1,Judge2,Judge3,Filename.rtf
1973,1,supreme court,Figuerido v Swaziland Electricity Board,1/1972,,,13 November 1973,[1973] SZSC 1,"Schreiner,P","Maisels,JA","Milne,JA",SZICA_1_1972.rtf
1978,1,supreme court,Commissioner of Taxes v Swaziland Ranches,Cv/Ap2/77,,,26 July 1978,[1978] SZSC 1,"Thompson,P","Milen,JA","Smit,JA",SZCA_2_1977.rtf
1980,1,supreme court,Morrison v Regem,Cr/Ap 11/1980,,,25 July 1980,[1980] SZSC 1,"Maisels,P","Isaacs,JA","van Winsen,JA",SZHC_11_1980.rtf
1981,1,supreme court,Ginindza v Regem,11/81,,,26 January 1981,[1981] SZSC 1,"Maisela,JP","Young,JA","Isaacs,JA",SZCA_11_1981.rtf
1981,2,supreme court,Shiba and Others v Regen,17/80,,,26 January 1981,[1981] SZSC 2,"Maisela,JP",,,SZCA_17_1980.rtf
1981,3,supreme court,Dlamin v State,Cr/Ap 9/80,,,27 January 1981,[1981] SZSC 3,"Maisela,JP","Young,JA","Isaacs,JA",SZCA_9_1980.rtf
1981,4,supreme court,Rex v Mabuza,23/81,,,27 January 1981,[1981] SZSC 4,"Maisela,JP","Young,JA","Isaacs,JA",SZCA_23_1981.rtf
1981,5,supreme court,Rex v Mpungose,6/81,,,27 January 1981,[1981] SZSC 5,"Maisels,JP","Isaacs,JA","Nathan,CJ",SZCA_6_1981.rtf
1981,6,supreme court,Tsabedze and Another v King,Cr/Ap 11/79,,,2 February 1981,[1981] SZSC 6,"Young,JA",,,SZCA_11_1979.rtf
1981,7,supreme court,Johnson v Commonwealth Development Corporation ,2/80,,,6 May 1981,[1981] SZSC 7,"Maisels,P","Young,JA","Isaacs,JA",SZCA_2_1980.rtf
1981,8,supreme court,Dlamin v Regem,8/81,,,3 June 1981,[1981] SZSC 8,"Maisela,JP","Isaacs,JA","Winsen,JA",SZCA_8_1981.rtf
